Element,h_index,g_index,m_index,TC,NP,PY_start
ANDERSON J,1,1,0.111,97,1,2015
ANDERSON TL,1,1,0.1,29,1,2014
ANDREN H,1,1,0.333,6,1,2021
ANDREONE F,1,1,0.167,53,1,2018
ANDRES BA,1,1,0.083,13,1,2012
ANDRETTI CB,1,1,0.091,11,1,2013
ANH NQH,1,1,0.25,1,1,2020
ANNAND EM,1,1,0.063,258,1,2008
ANTONGIOVANNI M,1,1,0.167,12,1,2018
APPLEGATE RD,1,1,0.125,21,1,2016
APTE D,1,1,0.25,3,1,2020
AQUINO J,1,1,0.5,1,1,2022
ARAGON S,1,1,0.2,12,1,2019
ARASUMANI M,1,1,0.25,4,1,2020
ARAYA-GAMBOA D,1,1,0.333,4,1,2021
ARES-PEREIRA G,1,1,0.5,1,1,2022
ARIAS LNC,1,1,0.5,1,1,2022
ARIEFIANDY A,1,1,0.091,28,1,2013
ARMENTERAS D,1,1,0.333,3,1,2021
ARROYO B,1,2,0.333,6,2,2021
ARTHUR R,1,1,0.091,20,1,2013
ARYAL A,1,1,0.143,20,1,2017
ASAD S,1,2,0.333,6,2,2021
ASBECK T,1,1,0.333,5,1,2021
ASCENSAO F,1,1,0.077,51,1,2011
ASHE E,1,1,0.167,13,1,2018
ASTARAS C,1,1,0.5,4,1,2022
ASTROM J,1,1,0.5,1,1,2022
AUGUGLIARO C,1,1,0.5,1,1,2022
AUNG Z,1,1,0.333,2,1,2021
AWAN MN,1,1,0.25,4,1,2020
AYALA G,1,1,0.25,1,1,2020
AZIZ R,1,1,0.25,4,1,2020
BAGNALL KE,1,1,0.2,1,1,2019
BAI LZ,1,1,0.5,1,1,2022
BAILEY AM,1,1,0.143,12,1,2017
BAKER CCM,1,1,0.5,1,1,2022
BAKER-WHATTON MC,1,1,0.2,38,1,2019
BALAGUERA-REINA SA,1,1,0.333,1,1,2021
BALDWIN J,1,1,0.111,13,1,2015
BALKENHOL N,1,1,0.25,15,1,2020
BALL-DAMEROW JE,1,1,0.143,13,1,2017
BANCILA RI,1,1,0.143,7,1,2017
BANI L,1,1,0.333,1,1,2021
BANNER KM,1,1,0.2,41,1,2019
BAR DAVID S,1,1,0.25,1,1,2020
BARAO-NOBREGA JAL,1,1,0.5,2,1,2022
BARNAS GR,1,1,0.25,12,1,2020
BARNETT J,1,1,0.2,41,1,2019
BARNHART PD,1,1,0.25,2,1,2020
BARNICK KA,1,1,0.5,1,1,2022
BARRETO E,1,1,0.333,6,1,2021
BARROS Y,1,1,0.5,1,1,2022
BARROWS C,1,1,0.083,2,1,2012
BARTA B,1,1,0.333,4,1,2021
BARTON CD,1,1,0.25,8,1,2020
BARTOSZEK IA,1,1,0.1,11,1,2014
BARTZ KK,1,1,0.167,4,1,2018
BARZAGHI B,1,2,0.167,53,2,2018
BASILE M,1,1,0.333,5,1,2021
BATA MN,1,1,0.25,13,1,2020
BAUDER JM,1,1,0.143,15,1,2017
BAUER D,1,1,0.5,3,1,2022
BAUMANN K,1,1,0.333,17,1,2021
BAYLY NJ,1,1,0.5,3,2,2022
BEASLEY EM,1,1,0.2,3,1,2019
BEAUDROT L,1,2,0.25,24,2,2020
BECHET A,1,1,0.083,34,1,2012
BEDOYA-DURAN MJ,1,1,0.333,1,1,2021
BEDRINANA-ROMANO L,1,1,0.167,13,1,2018
BEGUM RH,1,1,0.333,7,1,2021
BEIER P,1,1,0.083,10,1,2012
BEISSINGER SR,1,2,0.167,10,2,2018
BEJRABURNIN T,1,1,0.25,9,1,2020
BEKKER DL,1,1,0.111,11,1,2015
BELISLE M,1,1,0.333,6,1,2021
BELL CM,1,1,0.25,19,1,2020
BELLIER E,1,1,0.167,7,1,2018
BELLINGHAM PJ,1,1,0.1,26,1,2014
BELLUARDO F,1,1,0.5,3,1,2022
BENCE JR,1,1,0.25,2,1,2020
BENKEN T,1,1,0.333,17,1,2021
BENNETT RE,1,1,0.5,2,1,2022
BENNITT E,1,1,0.5,3,1,2022
BENOIT D,1,1,0.167,13,1,2018
BENSON TJ,1,1,0.167,7,1,2018
BERG A,1,1,0.167,15,1,2018
BERGAMINI A,1,2,0.333,4,2,2021
BERNARDOS JN,1,1,0.111,26,1,2015
BERTHIER K,1,1,0.111,36,1,2015
BERTRAM MR,1,1,0.111,9,1,2015
BEYTELL PC,1,1,0.125,5,1,2016
BEZERRA D,1,1,0.167,12,1,2018
BHATNAGAR YV,1,1,0.333,3,1,2021
BHATTARAI N,1,1,0.2,12,1,2019
BICCA-MARQUES JC,1,1,0.2,12,1,2019
BINO G,1,1,0.167,9,1,2018
BISCHOF R,1,2,0.1,66,2,2014
BISI F,1,1,0.333,3,2,2021
BISSONETTE JA,1,1,0.077,51,1,2011
BISTA D,1,1,0.25,4,1,2020
BITTNER T,1,1,0.333,17,1,2021
BJELKE U,1,1,0.2,48,1,2019
BJORK R,1,1,0.2,13,1,2019
BLAALID R,1,1,0.5,1,1,2022
BLACKBURN JK,1,1,0.167,22,1,2018
BLACKMAN RC,1,1,0.2,27,1,2019
BLAKESLEY JA,1,1,0.083,57,1,2012
BLAKEY RV,1,1,0.333,4,1,2021
BLANC L,1,1,0.1,20,1,2014
BLANCO CM,1,1,0.25,3,1,2020
BLANGIARDO M,1,1,0.2,7,1,2019
BLANK PJ,1,1,0.091,14,1,2013
BLASS CR,1,1,0.25,4,1,2020
BLENDINGER PG,1,1,0.25,16,1,2020
BLOCK WM,1,1,0.125,16,1,2016
BLUM AG,1,1,0.167,17,1,2018
BLY B,1,1,0.077,10,1,2011
BOEHNING-GAESE K,1,1,0.083,5,1,2012
BOETTCHER R,1,1,0.111,10,1,2015
BOHM SM,1,1,0.083,5,1,2012
BOHNETT ET,1,1,0.333,2,2,2021
BOHUS A,1,1,0.333,4,1,2021
BONACIC C,1,1,0.091,39,1,2013
BONAVIGO PH,1,1,0.333,1,1,2021
BOND ML,1,1,0.111,35,1,2015
BONN A,1,1,0.333,17,1,2021
BONNEAU M,1,1,0.143,18,1,2017
BONNER SJ,1,1,0.25,8,1,2020
BONNOT TW,1,1,0.5,2,1,2022
BONSEL A,1,1,0.333,17,1,2021
BONTER DN,1,1,0.077,88,1,2011
BOONE EL,1,1,0.091,18,1,2013
BORDAGE D,1,1,0.25,1,1,2020
BORKHATARIA RR,1,1,0.143,18,1,2017
BORON V,1,1,0.2,26,1,2019
BORTOLOTTI GR,1,1,0.056,17,1,2006
BOTERO-CANOLA S,1,1,0.2,11,1,2019
BOULEY P,1,1,0.2,10,1,2019
BOUROS G,1,1,0.143,13,1,2017
BOWER MR,1,1,0.143,24,1,2017
BOWLER DE,1,1,0.333,17,1,2021
BOWLES M,1,1,0.5,3,1,2022
BOYCE MS,1,1,0.167,30,1,2018
BRADBURY S,1,1,0.1,25,1,2014
BRADKE DR,1,1,0.167,27,1,2018
BRADY RS,1,1,0.111,15,1,2015
BRANCH LC,1,2,0.111,42,2,2015
BRASSINE A,1,1,0.5,3,1,2022
BRAUD Y,1,1,0.333,2,1,2021
BRAWN JD,1,1,0.167,7,1,2018
BRECKHEIMER IK,1,1,0.2,1,1,2019
BREININGER DJ,1,1,0.2,3,1,2019
BREININGER RD,1,1,0.2,3,1,2019
