Id,Label,links,total_link_strength,documents,citations,degree.centr,closnesscentrality,norm.betweeness.centr,component.number,clustering,triangles,eigen.centr
1849,"pisanu, b.",4,4,1,4,4,1,0,165,1,6,0.000025
1850,"pitman, james",3,3,1,17,3,0.328125,0,74,1,3,0.000017
1851,"pitman, ross t.",8,8,1,6,8,0.146105,0,0,1,28,0.000203
1852,"pizzio, esteban",13,13,1,1,13,0.172818,0,0,1,78,0.009342
1853,"planillo, aimara",10,10,1,0,10,0.144788,0,0,1,45,0.0005
1854,"plattner, matthias",4,4,1,102,4,0.177393,0,0,1,6,0.000192
1855,"plumier, ethan",8,8,1,1,8,0.140292,0,0,1,28,0.001985
1856,"poesch, mark s.",6,6,1,0,6,1,0,97,1,15,0.000058
1857,"poley, lucy g.",6,6,1,4,6,1,0,114,1,15,0.000058
1858,"poli, laurene",17,17,1,0,17,1,0,38,1,136,0.001946
1859,"pollock, kenneth h.",8,8,1,10,8,0.170115,0,0,1,28,0.000204
1860,"ponciano, jose m.",3,3,1,22,3,0.666667,0,48,1,3,0.000018
1861,"pop, mihai i.",5,5,1,13,5,0.15188,0,0,1,10,0.000932
1862,"pope, theresa l.",5,5,1,1,5,0.777778,0,82,1,10,0.000048
1863,"popescu, viorel d.",32,34,5,32,32,0.152321,0.009157,0,0.300403,149,0.002311
1864,"porter, william f.",7,7,3,5,7,0.137082,0.004907,0,0.285714,6,0.000056
1865,"portiss, r.",6,6,1,8,6,1,0,117,1,15,0.000058
1866,"possingham, hp",5,5,1,545,5,0.727273,0,75,1,10,0.000043
1867,"post van der burg, max",3,3,1,9,3,0.615385,0,75,1,3,0.000021
1868,"potoka, k. m.",4,6,2,16,4,0.157111,0,0,1,6,0.000032
1869,"potter, david s.",5,5,1,4,5,0.4375,0,74,1,10,0.000047
1870,"powell, george v. n.",3,3,1,113,3,0.154519,0,0,1,3,0.024304
1871,"powell, larkin a.",4,4,1,9,4,0.7,0,66,1,6,0.000033
1872,"powney, gary d.",10,11,2,389,10,0.150891,0.000698,0,0.555556,25,0.00046
1873,"prabhu, mrugank",5,5,1,3,5,0.777778,0,27,1,10,0.000041
1874,"prado, estevao",3,3,1,0,3,1,0,194,1,3,0.000015
1875,"prange, suzanne",3,3,1,11,3,0.132224,0,0,1,3,0.000153
1876,"praveen, j.",2,2,1,1,2,1,0,181,1,1,0.000008
1877,"preatoni, d. g.",12,19,2,2,12,1,0,34,0.939394,62,0.000396
1878,"prescott, graham w.",8,8,1,50,8,0.722222,0,79,1,28,0.000142
1879,"prescott, t.",6,6,1,29,6,1,0,88,1,15,0.000058
1880,"preston, daniel l.",8,8,1,1,8,0.140292,0,0,1,28,0.001985
1881,"preuss, timothy s.",4,4,1,2,4,0.120207,0,0,1,6,0.000032
1882,"prevedello, jayme augusto",5,5,1,22,5,0.692308,0,64,1,10,0.000047
1883,"price, steven j.",4,4,1,8,4,1,0,50,1,6,0.000025
1884,"pringle, catherine m.",9,9,1,15,9,0.139475,0,0,1,36,0.001054
1885,"prins, marijn d.",17,17,1,48,17,0.156937,0,0,1,136,0.002638
1886,"priol, pauline",5,5,1,21,5,0.619048,0,57,1,10,0.00005
1887,"priotto, jose",13,20,5,23,13,0.15963,0.003414,0,0.384615,30,0.000546
1888,"promberger-furpass, barbara",3,3,1,0,3,0.132224,0,0,1,3,0.000196
1889,"proust, nicolas",41,41,1,3,41,0.182617,0,0,1,820,0.948232
1890,"provensal, maria cecilia",5,5,1,0,5,0.153279,0,0,1,10,0.000418
1891,"prowse, thomas a. a.",10,10,1,2,10,1,0,92,1,45,0.000239
1892,"prugh, laura r.",3,3,1,0,3,0.170013,0,0,1,3,0.000081
1893,"prunier, florent",17,17,1,48,17,0.156937,0,0,1,136,0.002638
1894,"pryke, j. s.",3,3,1,7,3,1,0,157,1,3,0.000015
1895,"puente-rolon, alberto r.",5,5,1,5,5,0.170959,0,0,1,10,0.000084
1896,"puri, mahi",5,5,1,42,5,0.153813,0,0,1,10,0.000085
1897,"purwandana, deni",4,4,1,28,4,1,0,30,1,6,0.000025
1898,"pywell, richard f.",6,6,1,265,6,0.135298,0,0,1,15,0.000329
1899,"qualls, carl p.",2,2,1,2,2,0.14335,0,0,1,1,0.00005
1900,"quan, r. -c.",5,5,1,6,5,1,0,119,1,10,0.000039
1901,"quattrini, laura a.",4,4,1,8,4,0.172713,0,0,1,6,0.000063
1902,"quenette, pierre-yves",5,5,1,13,5,0.121342,0,0,1,10,0.000089
1903,"quigley, howard",18,18,1,32,18,0.176927,0,0,1,153,0.013161
1904,"quinones-guerrero, andres",6,6,1,26,6,1,0,83,1,15,0.000058
1905,"quist, michael c.",2,2,1,10,2,1,0,168,1,1,0.000008
1906,"rabelo oliveira, marcelo juliano",7,7,1,20,7,0.161471,0,0,1,21,0.000292
1907,"rabelo, rafael m.",2,2,1,11,2,1,0,28,1,1,0.000008
1908,"radvan, max",5,5,1,1,5,0.356164,0,20,1,10,0.000047
1909,"raghunath, r.",6,9,2,42,6,0.19354,0,0,1,15,0.003296
1910,"rahlin, anastasia a.",2,2,1,0,2,0.157111,0,0,1,1,0.000023
1911,"rahman, hasan a.",3,3,1,5,3,1,0,147,1,3,0.000015
1912,"rainbolt, raymond e.",4,4,1,99,4,0.201827,0,0,1,6,0.000293
1913,"ralovarisoa, etienne",6,6,1,0,6,0.148047,0,0,1,15,0.000101
1914,"ramesh, t.",5,7,3,53,5,1,0.000001,139,0.6,6,0.000028
1915,"ramiere, jessica",5,5,1,21,5,0.619048,0,57,1,10,0.00005
1916,"ramirez-cruz, gonzalo a.",3,3,2,6,3,1,0,150,1,3,0.000015
1917,"ramirez-parada, tadeo",4,4,1,5,4,1,0,94,1,6,0.000025
1918,"ramp, daniel",6,6,1,0,6,1,0,81,1,15,0.000058
1919,"ramseier, petra",5,5,1,0,5,0.692308,0,43,1,10,0.000045
1920,"ramsey, david s. l.",12,14,3,21,12,1,0.000005,152,0.484848,32,0.000147
1921,"randall, georgia",5,5,1,1,5,0.356164,0,20,1,10,0.000047
1922,"ransom, jason i.",7,7,1,8,7,0.193064,0,0,1,21,0.003389
1923,"rapacciuolo, g.",3,3,1,13,3,1,0,42,1,3,0.000015
1924,"rappaport, danielle, i",2,2,1,12,2,0.201224,0,0,1,1,0.0002
1925,"ratelolahy, felix",6,9,2,49,6,0.170979,0,0,1,15,0.005323
1926,"rathore, devika",6,6,1,3,6,0.140222,0,0,1,15,0.000078
1927,"rato, daniela",5,5,1,0,5,0.133762,0,0,1,10,0.000104
1928,"ravelojaona, rojo nadrianina",6,6,1,0,6,0.148047,0,0,1,15,0.000101
1929,"ravesi, michael j.",6,6,1,27,6,0.105981,0,0,1,15,0.000073
1930,"rawson, benjamin m.",5,5,1,1,5,1,0,174,1,10,0.000039
1931,"ray, justina c.",6,6,1,4,6,1,0,114,1,15,0.000058
1932,"rayamajhi, trishna",6,6,1,0,6,0.607143,0,51,1,15,0.000081
1933,"razafindraibe, jary h.",6,6,1,0,6,0.148047,0,0,1,15,0.000101
1934,"read, daniel s.",8,8,1,27,8,1,0,68,1,28,0.000122
1935,"reading, richard p.",4,4,1,7,4,1,0,17,1,6,0.000025
