"Element","h_index","g_index","m_index","TC","NP","PY_start"
"RICHARDSON TW","1","1","0.111","36","1","2016"
"RICHMOND OM","1","1","0.333","2","1","2022"
"RICHTER SC","1","1","0.200","9","1","2020"
"RIDGWAY MS","1","1","0.143","14","1","2018"
"RIECKE TV","1","1","0.250","2","1","2021"
"RIEGEL JK","1","1","0.111","22","1","2016"
"RIFFELL SK","1","1","0.143","9","1","2018"
"RILEY JW","1","1","0.125","30","1","2017"
"RILEY SPD","1","1","0.250","12","1","2021"
"RINEHART KA","1","1","0.063","10","1","2009"
"RISK BB","1","1","0.333","2","1","2022"
"RIVAS LF","1","1","0.100","7","1","2015"
"RIVERA-MILÁN FF","1","1","0.167","2","1","2019"
"RIVERO J","1","1","0.200","16","1","2020"
"ROACH MC","1","1","0.333","2","1","2022"
"ROACH NS","1","1","0.100","20","1","2015"
"ROBERTS AJ","1","1","0.200","3","1","2020"
"ROBERTS LJ","1","1","0.100","15","1","2015"
"ROBIN VV","1","2","0.200","6","2","2020"
"ROBINO F","1","1","0.333","1","1","2022"
"ROBINSON D","1","1","0.100","32","1","2015"
"ROBINSON H","1","1","0.167","11","1","2019"
"ROBINSON N","1","1","0.143","35","1","2018"
"ROBINSON NP","1","1","0.125","85","1","2017"
"ROBLEDANO F","1","1","0.167","9","1","2019"
"ROBLES RV","1","1","0.250","1","1","2021"
"ROCHESTER CJ","1","1","0.250","12","1","2021"
"ROCHFORD M","1","1","0.077","8","1","2012"
"RODE B","1","1","0.125","13","1","2017"
"RODEWALD AD","1","1","0.125","3","1","2017"
"RODRIGUES FHG","1","1","0.200","14","1","2020"
"RODRIGUES TF","1","1","0.143","28","1","2018"
"RODRIGUEZ RM","1","1","0.167","47","1","2019"
"ROHDE AT","1","1","0.200","24","1","2020"
"ROHNKE AT","1","1","0.250","23","1","2021"
"ROHRBAUGH RW","1","1","0.125","3","1","2017"
"ROHRER J","1","1","0.200","10","1","2020"
